,date,T.Exp,MarkCap Fiscal,ROA,T.Debt,Sales Or Rev,EPS Before Extra,Gross Income Margin,Quick Ratio,ROE,EPS,Cash Equi,Shares Outstanding,Net Income Cont Op_x,Net Income Cont Op_y,Tangible BV/Share,T.Assets,BV/Share,EBIT,T.Cash,FCF/Share Dil,Working Cap/Share,Current Ratio_x,Current Ratio_y,T.EV,LTDebt_x,LTDebt_y,T.Liabi,Rev/Share,stock
0,2012-12-31,35310000000.0,225536706800.0,12.013241842356798,14188000000.0,72930000000.0,1.84,21.197038255861784,2.5894390473205893,21.300429894179896,1.83076740881099,6017000000.0,8444000000.0,15459000000.0,15459000000.0,6.455234486025581,128683000000.0,8.594978683088584,37620000000.0,6017000000.0,2.8643875408692563,6.828990999526291,2.8070824193042934,2.8070824193042934,233707706800.0,11947000000.0,11947000000.0,56107000000.0,8.636901942207485,MSFT
1,2013-12-31,31453000000.0,314056950000.0,14.863588701536376,22976000000.0,83433000000.0,2.74,27.353684992748672,2.9615908956197026,26.81786133960047,2.718522930315664,10059000000.0,8395000000.0,22822000000.0,22822000000.0,8.03752233472305,153543000000.0,10.136986301369863,51980000000.0,10059000000.0,2.5020312312805237,8.710899344848125,3.167269278643827,3.167269278643827,326973950000.0,20676000000.0,20676000000.0,68443000000.0,9.938415723645027,MSFT
2,2014-12-31,34360000000.0,385395650000.0,11.824556185944363,28308000000.0,93456000000.0,2.5,22.12271015237117,2.244753769904039,22.502421663274525,2.491864529347957,6426000000.0,8297000000.0,20675000000.0,20675000000.0,7.559961431842835,174848000000.0,11.073761600578523,59096000000.0,6426000000.0,1.5393988464143666,8.309871037724479,2.45411789518085,2.45411789518085,407277650000.0,18260000000.0,18260000000.0,82969000000.0,11.263830300108474,MSFT
3,2015-12-31,40016000000.0,446669480000.0,6.502015569301159,44429000000.0,88084000000.0,1.47,13.294128332046684,2.7471566259409514,15.251367543631153,1.4544777046329649,7185000000.0,8051000000.0,11710000000.0,11710000000.0,6.797292261830829,180098000000.0,9.536703515091293,48068000000.0,7185000000.0,2.7444678866476218,10.578685877530742,2.9972562905986915,2.9972562905986915,483913480000.0,40679000000.0,40679000000.0,103318000000.0,10.94075270152776,MSFT
4,2010-12-31,26409000000.0,239188700000.0,22.282408510822695,9671000000.0,66690000000.0,2.39,30.84120557804768,2.226307996051333,42.424867473855734,2.4,4023000000.0,8570000000.0,20568000000.0,20568000000.0,4.082497082847142,92306000000.0,5.657059509918319,40281000000.0,4023000000.0,2.7148766440140024,4.127421236872812,2.4549193813754524,2.4549193813754524,244836700000.0,9671000000.0,9671000000.0,43825000000.0,7.781796966161027,MSFT
5,2011-12-31,27955000000.0,219751400000.0,20.908208084245786,11932000000.0,72052000000.0,2.79,32.57092100149892,2.5767154061403854,36.59955396827873,2.772356763142351,10610000000.0,8465000000.0,23468000000.0,23468000000.0,4.946249261665682,112243000000.0,7.574837566450088,44097000000.0,10610000000.0,1.523416335499114,5.568812758417011,2.8578804240728335,2.8578804240728335,221073400000.0,11932000000.0,11932000000.0,48122000000.0,8.511754282339043,MSFT
6,2019-06-30,39974000000.0,1038591880000.0001,13.693658482111697,72178000000.0,125843000000.0,5.11,31.181710544090652,2.3529674445404782,38.34652594547054,5.061266606474913,11356000000.0,7753000000.0,39240000000.0,39240000000.0,6.778537340384367,286556000000.0,13.19876176963756,85869000000.0,11356000000.0,3.079223729021024,13.689152586095705,2.5288389513108616,2.5288389513108616,1099413880000.0001,66662000000.0,66662000000.0,184226000000.0,16.231523281310462,MSFT
7,2016-12-31,32470000000.0,486556200000.0,8.375406259739103,84970000000.0,88899000000.0,2.42,21.161092925679704,1.9371353497111052,27.33944687468209,2.402554278416347,8468000000.0,7830000000.0,18812000000.0,18812000000.0,2.973690932311622,224610000000.0,8.78786717752235,56429000000.0,8468000000.0,0.9368261994252873,9.471519795657727,2.0476782460056224,2.0476782460056224,563058200000.0,59306000000.0,59306000000.0,155801000000.0,11.353639846743295,MSFT
8,2017-12-31,35701000000.0,659513400000.0,3.7280813115471303,89260000000.0,95652000000.0,1.23,9.977836323338769,2.7747121292965455,12.179683511995917,1.2378728923476006,12859000000.0,7710000000.0,9544000000.0,9544000000.0,4.4060959792477306,256003000000.0,10.163424124513618,59951000000.0,12859000000.0,1.8714980816601816,14.206744487678339,2.8852992306235907,2.8852992306235907,735914400000.0,73348000000.0,73348000000.0,177643000000.0,12.406225680933852,MSFT
9,2018-12-31,38236000000.0,788995760000.0,12.957246995468577,73169000000.0,118459000000.0,4.36,28.314437906786317,2.9282165427878692,36.4069555401181,4.3178424304840375,6638000000.0,7768000000.0,33541000000.0,33541000000.0,5.4156797116374875,258859000000.0,11.859938208032956,80223000000.0,6638000000.0,2.3407337017765193,13.7173017507724,3.1176517349656185,3.1176517349656185,855526760000.0,69653000000.0,69653000000.0,166731000000.0,15.249613800205973,MSFT
